id,match_id,match_round,treated_k,control_usage_count,pair_weight
NSW184,PSID5,1,3,4,0.08333333333333333
NSW184,PSID6,2,3,5,0.06666666666666667
NSW184,PSID27,3,3,5,0.06666666666666667
NSW181,PSID59,1,3,2,0.16666666666666666
NSW181,PSID41,2,3,3,0.1111111111111111
NSW181,PSID46,3,3,2,0.16666666666666666
NSW182,PSID3,1,3,1,0.3333333333333333
NSW182,PSID23,2,3,1,0.3333333333333333
NSW182,PSID41,3,3,3,0.1111111111111111
NSW183,PSID6,1,3,5,0.06666666666666667
NSW183,PSID5,2,3,4,0.08333333333333333
NSW183,PSID27,3,3,5,0.06666666666666667
NSW175,PSID27,1,3,5,0.06666666666666667
NSW175,PSID6,2,3,5,0.06666666666666667
NSW175,PSID5,3,3,4,0.08333333333333333
NSW185,PSID5,1,3,4,0.08333333333333333
NSW185,PSID6,2,3,5,0.06666666666666667
NSW185,PSID27,3,3,5,0.06666666666666667
NSW172,PSID41,1,3,3,0.1111111111111111
NSW172,PSID46,2,3,2,0.16666666666666666
NSW172,PSID59,3,3,2,0.16666666666666666
NSW163,PSID27,1,3,5,0.06666666666666667
NSW163,PSID300,2,3,1,0.3333333333333333
NSW163,PSID6,3,3,5,0.06666666666666667
NSW129,PSID76,1,3,1,0.3333333333333333
NSW129,PSID31,2,3,1,0.3333333333333333
NSW129,PSID82,3,3,3,0.1111111111111111
NSW177,PSID95,1,3,1,0.3333333333333333
NSW177,PSID82,2,3,3,0.1111111111111111
NSW177,PSID160,3,3,1,0.3333333333333333
NSW167,PSID114,1,3,1,0.3333333333333333
NSW167,PSID305,2,3,1,0.3333333333333333
NSW167,PSID82,3,3,3,0.1111111111111111
NSW156,PSID99,1,3,3,0.1111111111111111
NSW156,PSID69,2,3,3,0.1111111111111111
NSW156,PSID217,3,3,3,0.1111111111111111
NSW152,PSID99,1,3,3,0.1111111111111111
NSW152,PSID217,2,3,3,0.1111111111111111
NSW152,PSID69,3,3,3,0.1111111111111111
NSW142,PSID99,1,3,3,0.1111111111111111
NSW142,PSID217,2,3,3,0.1111111111111111
NSW142,PSID69,3,3,3,0.1111111111111111
NSW173,PSID66,1,3,2,0.16666666666666666
NSW173,PSID17,2,3,2,0.16666666666666666
NSW173,PSID161,3,3,2,0.16666666666666666
NSW134,PSID93,1,3,1,0.3333333333333333
NSW134,PSID94,2,3,1,0.3333333333333333
NSW134,PSID132,3,3,1,0.3333333333333333
NSW180,PSID66,1,3,2,0.16666666666666666
NSW180,PSID17,2,3,2,0.16666666666666666
NSW180,PSID161,3,3,2,0.16666666666666666
NSW58,PSID354,1,3,4,0.08333333333333333
NSW58,PSID420,2,3,1,0.3333333333333333
NSW58,PSID428,3,3,4,0.08333333333333333
NSW158,PSID110,1,3,7,0.047619047619047616
NSW158,PSID159,2,3,8,0.041666666666666664
NSW158,PSID91,3,3,1,0.3333333333333333
NSW154,PSID110,1,3,7,0.047619047619047616
NSW154,PSID159,2,3,8,0.041666666666666664
NSW154,PSID412,3,3,7,0.047619047619047616
NSW170,PSID134,1,3,16,0.020833333333333332
NSW170,PSID140,2,3,19,0.017543859649122806
NSW170,PSID157,3,3,15,0.022222222222222223
NSW155,PSID238,1,3,3,0.1111111111111111
NSW155,PSID428,2,3,4,0.08333333333333333
NSW155,PSID354,3,3,4,0.08333333333333333
NSW176,PSID140,1,3,19,0.017543859649122806
NSW176,PSID134,2,3,16,0.020833333333333332
NSW176,PSID157,3,3,15,0.022222222222222223
NSW178,PSID140,1,3,19,0.017543859649122806
NSW178,PSID134,2,3,16,0.020833333333333332
NSW178,PSID226,3,3,16,0.020833333333333332
NSW83,PSID361,1,3,3,0.1111111111111111
NSW83,PSID410,2,3,2,0.16666666666666666
NSW83,PSID242,3,3,2,0.16666666666666666
NSW157,PSID140,1,3,19,0.017543859649122806
NSW157,PSID157,2,3,15,0.022222222222222223
NSW157,PSID134,3,3,16,0.020833333333333332
NSW148,PSID140,1,3,19,0.017543859649122806
NSW148,PSID134,2,3,16,0.020833333333333332
NSW148,PSID226,3,3,16,0.020833333333333332
NSW147,PSID140,1,3,19,0.017543859649122806
NSW147,PSID157,2,3,15,0.022222222222222223
NSW147,PSID134,3,3,16,0.020833333333333332
NSW144,PSID326,1,3,9,0.037037037037037035
NSW144,PSID400,2,3,15,0.022222222222222223
NSW144,PSID226,3,3,16,0.020833333333333332
NSW39,PSID238,1,3,3,0.1111111111111111
NSW39,PSID354,2,3,4,0.08333333333333333
NSW39,PSID428,3,3,4,0.08333333333333333
NSW32,PSID419,1,3,1,0.3333333333333333
NSW32,PSID387,2,3,1,0.3333333333333333
NSW32,PSID356,3,3,2,0.16666666666666666
NSW151,PSID140,1,3,19,0.017543859649122806
NSW151,PSID226,2,3,16,0.020833333333333332
NSW151,PSID157,3,3,15,0.022222222222222223
NSW161,PSID140,1,3,19,0.017543859649122806
NSW161,PSID157,2,3,15,0.022222222222222223
NSW161,PSID134,3,3,16,0.020833333333333332
NSW98,PSID412,1,3,7,0.047619047619047616
NSW98,PSID159,2,3,8,0.041666666666666664
NSW98,PSID110,3,3,7,0.047619047619047616
NSW72,PSID412,1,3,7,0.047619047619047616
NSW72,PSID159,2,3,8,0.041666666666666664
NSW72,PSID395,3,3,1,0.3333333333333333
NSW139,PSID159,1,3,8,0.041666666666666664
NSW139,PSID110,2,3,7,0.047619047619047616
NSW139,PSID412,3,3,7,0.047619047619047616
NSW65,PSID400,1,3,15,0.022222222222222223
NSW65,PSID228,2,3,3,0.1111111111111111
NSW65,PSID356,3,3,2,0.16666666666666666
NSW166,PSID89,1,3,1,0.3333333333333333
NSW166,PSID127,2,3,2,0.16666666666666666
NSW166,PSID86,3,3,1,0.3333333333333333
NSW36,PSID412,1,3,7,0.047619047619047616
NSW36,PSID159,2,3,8,0.041666666666666664
NSW36,PSID110,3,3,7,0.047619047619047616
NSW22,PSID410,1,3,2,0.16666666666666666
NSW22,PSID361,2,3,3,0.1111111111111111
NSW22,PSID242,3,3,2,0.16666666666666666
NSW69,PSID354,1,3,4,0.08333333333333333
NSW69,PSID428,2,3,4,0.08333333333333333
NSW69,PSID238,3,3,3,0.1111111111111111
NSW153,PSID140,1,3,19,0.017543859649122806
NSW153,PSID157,2,3,15,0.022222222222222223
NSW153,PSID134,3,3,16,0.020833333333333332
NSW136,PSID226,1,3,16,0.020833333333333332
NSW136,PSID400,2,3,15,0.022222222222222223
NSW136,PSID140,3,3,19,0.017543859649122806
NSW162,PSID96,1,3,2,0.16666666666666666
NSW162,PSID326,2,3,9,0.037037037037037035
NSW162,PSID333,3,3,6,0.05555555555555555
NSW150,PSID134,1,3,16,0.020833333333333332
NSW150,PSID140,2,3,19,0.017543859649122806
NSW150,PSID157,3,3,15,0.022222222222222223
NSW160,PSID140,1,3,19,0.017543859649122806
NSW160,PSID157,2,3,15,0.022222222222222223
NSW160,PSID134,3,3,16,0.020833333333333332
NSW168,PSID96,1,3,2,0.16666666666666666
NSW168,PSID134,2,3,16,0.020833333333333332
NSW168,PSID140,3,3,19,0.017543859649122806
NSW179,PSID72,1,3,1,0.3333333333333333
NSW179,PSID88,2,3,1,0.3333333333333333
NSW179,PSID103,3,3,1,0.3333333333333333
NSW85,PSID400,1,3,15,0.022222222222222223
NSW85,PSID226,2,3,16,0.020833333333333332
NSW85,PSID333,3,3,6,0.05555555555555555
NSW23,PSID224,1,3,1,0.3333333333333333
NSW23,PSID272,2,3,1,0.3333333333333333
