id,treat,age,educ,race,married,nodegree,re74,re75,re78,subclass,weight,is_treated
NSW96,1,25,12,white,0,0,0.0,0.0,5587.503,NSW96,1.0,True
PSID340,0,23,12,white,0,0,1504.717,0.0,0.0,NSW96,0.3333333333333333,False
PSID371,0,26,14,white,0,0,0.0,0.0,6717.745,NSW96,0.3333333333333333,False
PSID407,0,23,12,white,0,0,0.0,0.0,3902.676,NSW96,0.3333333333333333,False
NSW89,1,21,12,white,0,0,0.0,0.0,8048.603,NSW89,1.0,True
PSID383,0,19,12,white,0,0,0.0,0.0,0.0,NSW89,0.3333333333333333,False
PSID211,0,20,12,white,0,0,0.0,1147.597,15554.55,NSW89,0.3333333333333333,False
PSID245,0,21,13,white,0,0,513.3279,578.2742,0.0,NSW89,0.3333333333333333,False
PSID225,0,18,8,hispan,0,1,0.0,902.3226,1306.31,NSW87,0.3333333333333333,False
PSID265,0,19,8,hispan,0,1,368.3422,300.7742,18510.0,NSW87,0.3333333333333333,False
NSW87,1,23,8,hispan,0,1,0.0,0.0,3881.284,NSW87,1.0,True
PSID358,0,16,7,hispan,0,1,289.9715,0.0,7515.717,NSW87,0.3333333333333333,False
PSID289,0,19,10,white,0,1,1933.796,112.7903,675.321,NSW76,0.3333333333333333,False
PSID342,0,20,10,white,0,1,1412.631,0.0,6290.682,NSW76,0.3333333333333333,False
NSW76,1,25,11,white,0,1,0.0,0.0,18783.35,NSW76,1.0,True
PSID258,0,18,10,white,0,1,0.0,386.7097,0.0,NSW76,0.3333333333333333,False
NSW69,1,45,5,black,1,1,0.0,0.0,8546.715,NSW69,1.0,True
PSID311,0,55,7,white,1,1,8832.375,0.0,0.0,NSW69,0.3333333333333333,False
PSID360,0,55,6,white,1,1,111.6782,0.0,0.0,NSW69,0.3333333333333333,False
PSID354,0,50,5,black,1,1,411.446,0.0,9166.338,NSW69,0.3333333333333333,False
PSID247,0,18,7,white,0,1,491.776,558.5806,642.8111,NSW68,0.3333333333333333,False
PSID252,0,16,7,white,0,1,658.3136,479.8065,6210.885,NSW68,0.3333333333333333,False
PSID414,0,17,6,white,0,1,0.0,0.0,0.0,NSW68,0.3333333333333333,False
NSW68,1,23,7,white,0,1,0.0,0.0,0.0,NSW68,1.0,True
NSW60,1,22,11,white,0,1,0.0,0.0,1048.432,NSW60,1.0,True
PSID353,0,19,11,white,0,1,540.7576,0.0,3406.16,NSW60,0.3333333333333333,False
PSID357,0,18,11,white,0,1,321.3198,0.0,7722.599,NSW60,0.3333333333333333,False
PSID425,0,18,11,white,0,1,0.0,0.0,10150.5,NSW60,0.3333333333333333,False
PSID380,0,34,12,black,1,0,0.0,0.0,18716.88,NSW59,0.3333333333333333,False
PSID203,0,36,18,white,1,0,3273.935,1269.339,18227.76,NSW59,0.3333333333333333,False
PSID288,0,40,16,white,1,0,0.0,114.5806,0.0,NSW59,0.3333333333333333,False
NSW59,1,42,14,black,1,0,0.0,0.0,13167.52,NSW59,1.0,True
PSID162,0,50,3,white,1,1,3136.786,2203.887,13976.34,NSW58,0.3333333333333333,False
PSID415,0,43,6,white,1,1,0.0,0.0,0.0,NSW58,0.3333333333333333,False
PSID420,0,39,2,black,1,1,0.0,0.0,964.9555,NSW58,0.3333333333333333,False
NSW58,1,41,4,black,1,1,0.0,0.0,7284.986,NSW58,1.0,True
PSID202,0,20,9,hispan,1,1,0.0,1283.661,0.0,NSW44,0.3333333333333333,False
NSW44,1,18,8,hispan,1,1,0.0,0.0,2787.96,NSW44,1.0,True
PSID391,0,16,9,hispan,1,1,0.0,0.0,6821.186,NSW44,0.3333333333333333,False
PSID255,0,23,11,hispan,1,1,8946.012,469.0645,4776.012,NSW44,0.3333333333333333,False
PSID422,0,16,9,white,0,1,0.0,0.0,5551.819,NSW42,0.3333333333333333,False
PSID397,0,16,9,white,0,1,0.0,0.0,6494.608,NSW42,0.3333333333333333,False
NSW42,1,19,9,white,0,1,0.0,0.0,13188.83,NSW42,1.0,True
PSID377,0,16,9,white,0,1,0.0,0.0,4974.028,NSW42,0.3333333333333333,False
PSID346,0,55,3,white,0,1,1208.868,0.0,0.0,NSW32,0.3333333333333333,False
